Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Screen on Ratio,0.712,0.689,0.734,0.514,0.573,0.521,0.412,0.602,0.473,0.523,-0.132,0.106,0.091,0.078,0.003,0.004,0.028
Education APP Dur.,0.082,-0.057,0.865,0.163,0.482,0.412,-0.084,-0.148,0.654,-0.071,-0.008,-0.072,-0.062,-0.031,-0.005,0.002,-0.005
Games APP Dur.,-0.054,-0.325,-0.472,-0.429,-0.412,-0.427,-0.345,-0.213,-0.042,-0.031,-0.015,0.158,0.023,0.012,-0.021,-0.012,0.003
Social APP Dur.,0.623,0.832,0.215,-0.317,-0.387,0.368,0.201,0.123,0.022,0.005,0.023,0.133,0.052,0.019,-0.015,0.035,0.025
Communications APP Dur.,0.841,0.614,0.127,-0.202,-0.259,0.217,0.134,0.034,0.043,-0.022,0.014,0.021,0.031,0.026,0.001,0.004,0.012
Music APP Dur.,0.125,0.208,0.468,0.812,0.134,0.149,0.567,-0.027,0.317,0.134,0.017,0.005,0.006,0.004,-0.007,-0.008,0.004
Browsers APP Dur.,0.231,0.314,0.541,0.239,0.216,0.193,0.623,0.056,0.068,0.311,-0.03,0.089,0.017,-0.009,-0.002,-0.003,0.018
Video Players\&Editors APP Dur.,-0.127,-0.289,-0.198,0.284,-0.331,-0.356,0.481,0.734,0.106,0.221,-0.023,0.206,0.062,-0.015,-0.018,-0.016,-0.008
dorm Dur.,-0.412,-0.457,-0.363,-0.351,-0.287,-0.281,-0.213,0.251,-0.125,0.048,-0.019,-0.021,-0.01,-0.036,-0.014,-0.005,-0.003
classroom Dur.,0.365,0.347,0.493,0.217,0.403,-0.092,-0.047,-0.184,0.234,-0.023,-0.01,-0.037,-0.003,-0.021,-0.009,-0.008,-0.006
study room Dur.,0.291,0.412,0.602,0.364,0.457,0.376,-0.126,-0.053,0.522,0.089,-0.005,-0.004,-0.008,-0.025,-0.011,-0.01,-0.004
Prop. of stationary,-0.756,0.125,0.184,0.769,0.312,0.254,-0.016,-0.086,0.134,0.019,0.006,0.012,0.019,-0.007,-0.004,0.023,0.004
Incoming Call Freq. \#7565,0.654,0.513,-0.132,-0.114,-0.115,0.071,0.091,0.103,0.087,-0.014,0.024,0.004,0.002,-0.011,0.005,0.003,0.003
Incoming Call Freq. \#3603,0.613,0.479,-0.087,-0.087,-0.092,0.043,0.073,0.056,0.063,-0.031,-0.004,-0.022,-0.013,0.005,-0.003,0.001,-0.001
Incoming Call Freq. \#3904,0.578,0.465,-0.076,-0.075,-0.081,0.029,0.064,0.029,0.026,0.017,-0.013,0.006,0.008,0.012,0.008,0.004,0.002
Shopping APP Dur.,-0.214,-0.231,-0.253,-0.258,-0.265,-0.134,-0.055,0.161,0.154,0.475,-0.016,-0.016,-0.02,-0.017,-0.005,0.045,0.004
Incoming Call Freq. \#3409,0.463,0.382,-0.092,-0.096,-0.087,0.061,0.121,0.097,0.021,0.026,0.011,-0.01,-0.014,0.009,0.001,-0.002,-0.002
Outgoing Call Freq.\#9200,0.741,0.558,-0.112,-0.102,-0.109,0.059,0.034,0.045,0.041,-0.032,0.002,-0.008,0.004,-0.013,-0.006,-0.005,0.002
Outgoing Call Freq.\#2737,0.712,0.524,-0.147,-0.117,-0.128,0.048,0.046,0.072,0.034,-0.015,-0.015,0.005,-0.008,0.017,0.002,0.002,-0.005
Outgoing Call Freq.\#8401,0.698,0.501,-0.128,-0.126,-0.142,0.056,0.041,0.057,0.056,0.022,-0.022,-0.018,-0.003,-0.004,0.003,0.001,-0.003
Outgoing Call Freq. \#7074,0.683,0.493,-0.093,-0.089,-0.096,0.063,0.031,0.036,0.053,-0.021,-0.008,0.003,0.006,0.021,0.004,0.003,0.003
Incoming Call Dur. \#9090,0.557,0.372,-0.084,-0.073,-0.067,0.034,0.029,0.056,0.029,-0.018,-0.021,-0.015,-0.007,0.003,-0.003,-0.001,0.002
Incoming Call Dur. \#6599,0.532,0.358,-0.067,-0.062,-0.059,0.021,0.022,0.014,0.022,0.005,0.01,0.009,0.003,0.009,-0.001,-0.002,0.001
Incoming Call Dur. \#8599,0.501,0.341,-0.071,-0.068,-0.065,0.027,0.045,0.032,0.021,0.014,-0.005,-0.005,0.002,-0.008,0.002,0.002,-0.002
Incoming Call Dur. \#7933,0.462,0.326,-0.059,-0.055,-0.054,0.018,0.036,0.023,0.014,0.011,-0.005,0.001,-0.003,-0.015,-0.005,-0.003,-0.001
Outgoing Call Dur. \#9312,0.583,0.387,-0.124,-0.145,-0.153,0.063,0.054,0.028,0.045,-0.003,-0.01,-0.01,0.002,0.007,0.004,0.001,-0.002
Outgoing Call Dur. \#1560,0.525,0.348,-0.098,-0.097,-0.101,0.054,0.061,0.014,0.018,-0.019,0.012,-0.013,-0.004,0.005,-0.004,0.004,-0.004
Outgoing Call Dur. \#4276,0.498,0.312,-0.085,-0.083,-0.078,0.047,0.053,0.063,0.034,0.008,-0.018,-0.011,-0.009,-0.011,0.001,-0.002,0.002
Incoming SMS Freq. \#4654,0.624,0.721,0.217,-0.152,-0.141,0.093,0.105,0.073,0.053,-0.011,0.003,-0.002,-0.006,0.011,-0.003,0.002,0.001
Incoming SMS Freq. \#4612,0.578,0.683,0.153,-0.119,-0.108,0.076,0.093,0.068,0.044,-0.01,-0.01,0.007,0.004,-0.008,0.002,-0.003,-0.005
Photography APP Dur.,-0.113,-0.145,-0.267,-0.263,-0.194,-0.127,-0.081,-0.021,0.011,-0.026,-0.013,-0.019,-0.015,-0.014,-0.019,-0.015,-0.005
Incoming SMS Freq. \#4476,0.489,0.613,0.182,-0.143,-0.134,0.082,0.082,0.029,0.021,0.004,0.009,0.003,0.001,0.003,0.004,0.004,0.002
